Currency Pair,Counterparty,Base Currency,Term Currency,Execution Venue,Product Type,Booking Location,Portfolio,Trade Source System,Custodian,Settlement Instructions,Netting Eligibility,KYC Status,Sanctions Screening,Settlement Currency,Cost Center,Expense Approval Status
USD/CHF,Deutsche,USD,CHF,EBS,Swap,Singapore,PORT4,Summit,JP Morgan,Urgent,Yes,Completed,Flagged,CHF,FX_FIN_03,Under Review
EUR/USD,BNP Paribas,EUR,USD,EBS,Swap,Singapore,PORT4,Murex,State Street,Standard,No,Pending,Flagged,USD,FX_FIN_03,Rejected
GBP/USD,JPMorgan,GBP,USD,Reuters,Spot,Singapore,PORT4,Custom,BNY Mellon,Urgent,Yes,Pending,Flagged,USD,FX_OPS_01,Under Review
USD/CHF,BNP Paribas,USD,CHF,Reuters,Spot,New York,PORT1,Summit,JP Morgan,Urgent,No,Completed,Pending Review,CHF,FX_FIN_03,Approved
AUD/USD,Citi,AUD,USD,Reuters,Swap,Mumbai,PORT5,Murex,State Street,Urgent,Yes,Pending,Clear,USD,FX_FIN_03,Approved
GBP/USD,Citi,GBP,USD,EBS,Forward,New York,PORT5,Custom,JP Morgan,Standard,No,Rejected,Clear,USD,FX_FIN_03,Approved
AUD/USD,JPMorgan,AUD,USD,Reuters,Spot,New York,PORT2,Custom,HSBC Custody,Standard,No,Completed,Pending Review,USD,FX_FIN_03,Under Review
USD/INR,BNP Paribas,USD,INR,Bloomberg,Forward,Singapore,PORT1,Custom,State Street,Standard,Yes,Completed,Pending Review,INR,FX_OPS_01,Under Review
USD/INR,HSBC,USD,INR,Reuters,Swap,Mumbai,PORT3,Custom,JP Morgan,Standard,No,Pending,Flagged,INR,FX_FIN_03,Under Review
AUD/USD,JPMorgan,AUD,USD,360T,Swap,London,PORT4,Summit,JP Morgan,Urgent,No,Rejected,Flagged,USD,FX_FIN_03,Rejected
USD/INR,JPMorgan,USD,INR,Reuters,Spot,London,PORT5,Murex,JP Morgan,Urgent,No,Pending,Pending Review,INR,FX_OPS_01,Under Review
AUD/USD,Deutsche,AUD,USD,Bloomberg,Swap,London,PORT5,Murex,BNY Mellon,Special,Yes,Completed,Flagged,USD,FX_OPS_01,Approved
USD/CHF,HSBC,USD,CHF,Bloomberg,Swap,Singapore,PORT5,Calypso,BNY Mellon,Special,No,Pending,Pending Review,CHF,FX_FIN_03,Rejected
USD/JPY,BNP Paribas,USD,JPY,Bloomberg,Spot,New York,PORT4,Calypso,BNY Mellon,Urgent,Yes,Rejected,Flagged,JPY,FX_OPS_01,Approved
USD/CHF,Citi,USD,CHF,Bloomberg,Spot,New York,PORT4,Calypso,BNY Mellon,Standard,No,Completed,Pending Review,CHF,FX_TRD_02,Rejected
USD/JPY,Citi,USD,JPY,Bloomberg,Forward,Singapore,PORT1,Custom,State Street,Standard,Yes,Completed,Clear,JPY,FX_TRD_02,Rejected
AUD/USD,JPMorgan,AUD,USD,Bloomberg,Spot,London,PORT2,Summit,HSBC Custody,Standard,Yes,Rejected,Pending Review,USD,FX_OPS_01,Approved
GBP/USD,BNP Paribas,GBP,USD,EBS,Swap,London,PORT4,Custom,JP Morgan,Standard,Yes,Pending,Pending Review,USD,FX_OPS_01,Approved
EUR/USD,BNP Paribas,EUR,USD,EBS,Swap,London,PORT1,Custom,HSBC Custody,Urgent,Yes,Completed,Clear,USD,FX_OPS_01,Approved
USD/INR,Citi,USD,INR,360T,Forward,Mumbai,PORT3,Custom,BNY Mellon,Special,No,Pending,Pending Review,INR,FX_TRD_02,Rejected
GBP/USD,JPMorgan,GBP,USD,360T,Spot,New York,PORT3,Calypso,JP Morgan,Urgent,No,Rejected,Clear,USD,FX_OPS_01,Under Review
GBP/USD,HSBC,GBP,USD,Bloomberg,Spot,London,PORT2,Calypso,JP Morgan,Urgent,Yes,Rejected,Clear,USD,FX_OPS_01,Under Review
USD/INR,Deutsche,USD,INR,EBS,Spot,London,PORT5,Murex,HSBC Custody,Standard,Yes,Rejected,Flagged,INR,FX_FIN_03,Approved
GBP/USD,JPMorgan,GBP,USD,EBS,Swap,London,PORT2,Summit,HSBC Custody,Urgent,Yes,Completed,Pending Review,USD,FX_OPS_01,Rejected
USD/CHF,JPMorgan,USD,CHF,Bloomberg,Spot,New York,PORT4,Calypso,JP Morgan,Urgent,Yes,Pending,Clear,CHF,FX_OPS_01,Approved
USD/CHF,HSBC,USD,CHF,Bloomberg,Swap,Mumbai,PORT2,Summit,HSBC Custody,Special,No,Pending,Flagged,CHF,FX_TRD_02,Rejected
USD/INR,HSBC,USD,INR,360T,Forward,Mumbai,PORT1,Summit,State Street,Special,Yes,Pending,Pending Review,INR,FX_TRD_02,Under Review
USD/JPY,HSBC,USD,JPY,Reuters,Forward,Mumbai,PORT5,Summit,BNY Mellon,Urgent,No,Rejected,Flagged,JPY,FX_TRD_02,Under Review
EUR/USD,JPMorgan,EUR,USD,360T,Swap,New York,PORT1,Calypso,BNY Mellon,Special,No,Rejected,Pending Review,USD,FX_OPS_01,Rejected
USD/JPY,JPMorgan,USD,JPY,360T,Spot,London,PORT1,Custom,HSBC Custody,Special,No,Rejected,Pending Review,JPY,FX_FIN_03,Under Review
